t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
1553,0.2,31.8581355113138,208.850390360568,31.8581355113138,31.7980849685857,11.7304979919719,0,-0.00964993660098836,207.333584578791,-0.417533270590737,1,1,0.249846210696855,0.249860677769318,0.224740369458374,0.224920901561168,0.201225278323303,0.199226944403212,19.1062302621831
1554,0.2,35.4223436092012,210.699479967299,35.4223436092012,35.1380313255636,11.3041596094466,0,0.107354981965239,209.229812230589,-0.423080116763024,1,1,0.247692108266901,0.247310087750754,0.224936348775602,0.224371751876071,0.201870052777465,0.201077336914612,18.9807293980145
1555,0.2,35.8778167462013,209.156616622537,35.8778167462013,35.779473466084,11.6008723484662,0,0.0168650939452864,207.835832027444,0.052955124386725,1,1,0.247970805756772,0.247020737618481,0.224280517137012,0.224201326178164,0.201186974551177,0.201061927629289,19.1129649217446
1556,0.2,38.1256024572447,208.26128055789,38.1256024572447,37.9860431078829,11.9438371212862,0,-0.12238440588831,207.045125045249,0.0220943771401501,1,1,0.246368798446782,0.247081493140494,0.223191826923783,0.223820775548966,0.200107775989539,0.20142545656523,19.2140516250322
1557,0.2,43.641916035372,204.50522368547,43.641916035372,43.1636210550847,12.5026157687532,0,-0.0543734725640282,204.22290967648,0.0281818039102589,1,1,0.244305624905709,0.24575280501447,0.223533614472179,0.222753236138641,0.198710221217676,0.199616550899929,18.8395562345628
1558,0.2,51.1146065488322,196.930818270846,51.1146065488322,50.4337543614688,13.884354163052,0,-0.192722547629349,195.661887397783,-0.127629447276473,1,1,0.247038771270345,0.246810563624475,0.222770881512988,0.22336054624417,0.199022483220921,0.201022773649212,19.0279303142623
1559,0.2,52.9246546402747,189.000790327821,52.9246546402747,53.0878438965047,15.05457990056,0,0.00945979860109896,188.006093657397,0.184311592719601,1,1,0.246301387995585,0.246566293562966,0.222785190552436,0.223060893476711,0.19914075293919,0.20012087112575,18.9575851399317
1560,0.2,51.134824146911,187.145466634484,51.134824146911,51.2699451796904,15.2021243402862,0,0.151988455617543,186.192516199403,0.288731785340252,1,1,0.247837789557088,0.248172392983606,0.223877776340228,0.222783165450534,0.199662960417103,0.197369823634653,19.1007228621469
1561,0.2,47.3900348427653,189.53269104245,47.3900348427653,47.9003649453819,14.8025682007394,0,-0.0346416361440069,188.950248802734,0.0564642965468491,1,1,0.251604799158882,0.249432164478133,0.223198862348103,0.223694064364106,0.201166675808965,0.197857412994198,18.9870939555114
1562,0.2,39.8306500898298,196.244874500275,39.8306500898298,40.5628570412886,13.7944468528509,0,-0.0033397210307458,195.176180456291,-0.0892512964656593,1,1,0.249126594950687,0.250099155651999,0.223846284274074,0.223470920625037,0.200687000410401,0.200634383476544,19.0798369267717
1563,0.2,37.4645514167458,203.64673510158,37.4645514167458,37.3884782216153,12.7201326773654,0,-0.0452647571522897,202.00997682868,0.0635061834204977,1,1,0.25029507979076,0.250905773000363,0.224021410306789,0.223331622619646,0.201019053811503,0.199150244368364,18.9545671958582
1564,0.2,36.984096584795,206.594279781623,36.984096584795,37.0226580162831,12.2709541269718,0,-0.0413243133385359,204.794423068524,-0.0529657497809178,1,1,0.244704651137633,0.249998987414376,0.224537578446285,0.223260882628607,0.200904296344276,0.199306929620489,18.8814050307962
1565,0.2,37.6365599223492,206.54151068762,37.6365599223492,37.6048508306814,12.0809491527418,0,-0.0639642304660712,205.330722421806,-0.287168849606733,1,1,0.249219826232794,0.249337254883108,0.223980253888944,0.224682858954478,0.199429436997159,0.201750551057566,19.1315217984102
1566,0.2,43.6177780870962,204.683135361148,43.6177780870962,42.8891045927254,12.4619364713864,0,0.0114541490536747,203.240453745992,0.248570733926278,1,1,0.24782314563151,0.24701667444732,0.223045331008443,0.223100494092914,0.20037202187454,0.200291517258814,18.9349828781579
1567,0.2,44.18544862513,199.505743182518,44.18544862513,44.1569817572963,13.2616405644468,0,-0.17436499412348,198.776848831842,-0.339538527011631,1,1,0.243082168192191,0.247755767391561,0.22309130560779,0.22301124110643,0.196498137646757,0.200318808193739,18.9862304238389
1568,0.2,55.9564172062496,193.838476165473,55.9564172062496,54.58558078487,14.3112828909608,0,0.187164499112968,192.518539381913,-0.105703789155625,1,1,0.247443593290241,0.246663613711849,0.223488890937101,0.222835607070102,0.200523441377998,0.200007438146118,18.9514263547293
1569,0.2,49.5837112759967,185.625140677841,49.5837112759967,50.7182899676069,15.379426342463,0,0.0566708869713863,184.42402661341,0.304589431391074,1,1,0.249816847166865,0.248210099223744,0.222674788462583,0.222842071554966,0.201035109216962,0.199949197971133,18.9425649377218
1570,0.2,39.752722524213,194.482242748749,39.752722524213,40.5377563818125,14.1691945074723,0,-0.0741142271540635,193.677151691501,-0.156286066241835,1,1,0.247322882546817,0.247864693554579,0.223051660883701,0.222916804145513,0.200143695027151,0.199784271504847,19.1533594629396
1571,0.2,39.2123974976502,201.877751509489,39.2123974976502,39.0736342477386,12.8295443779922,0,0.347258941499919,200.929119169174,0.267094978382353,1,1,0.250711144963447,0.249301943820632,0.223380843060059,0.223169025907009,0.199304010167521,0.198546423501133,18.8208484625257
1572,0.2,43.7151484690202,202.189795890597,43.7151484690202,43.4419230112023,13.0013559103646,0,-0.157031385966301,200.789941077351,0.119096503944594,1,1,0.250159927024927,0.248810453401286,0.224058335779153,0.223580384698165,0.199960310588044,0.199350164555962,19.1816304568907
