t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
62,0.2,40.6126342659621,200.795885871822,40.6126342659621,40.4655558293384,13.1784145422847,0,-0.273275239304283,199.862438444052,0.0146436171391041,1,1,0.257946956317132,0.253849272842312,0.228598222105157,0.229140662463621,0.20490473435016,0.203789183925533,19.3598595301152
63,0.2,49.2119516014506,198.551341252025,49.2119516014506,48.3249124768218,13.480115259274,0,-0.184313311131089,197.72403950544,0.0140218788929613,1,1,0.252392201822132,0.25316600288163,0.228886139471389,0.229352938885681,0.206007700354877,0.204568379714242,19.3532302654879
64,0.2,50.1421799053569,191.598943792293,50.1421799053569,50.2890613810424,14.4873397582926,0,-0.189341078267354,190.823504859771,0.118092298308966,1,1,0.254550764463992,0.253079394868356,0.228603901513339,0.228431170139811,0.206531254456304,0.204710417506707,19.2507436724421
65,0.2,45.5403337342575,192.260891403185,45.5403337342575,45.8918302707452,14.2810944375435,0,-0.229741273469643,191.452112904139,0.0114692649887567,1,1,0.256018099720447,0.256090498454075,0.228723152320601,0.228810116057301,0.207700907093487,0.203627176021886,19.3216020876273
66,0.2,38.1984834767329,198.819056179608,38.1984834767329,38.9040239484691,13.5295246858459,0,-0.167495130939624,197.872912211555,-0.302252626974505,1,1,0.257893396887351,0.254130959988401,0.229240315315464,0.229315628823938,0.206477657695967,0.204849577489347,19.1702797985341
67,0.2,38.1932158869642,204.667173470614,38.1932158869642,37.9701132615459,12.3587860317647,0,0.00609810695296622,203.113154179096,0.0795110751240374,1,1,0.253904069747509,0.254986242945708,0.228670017655652,0.228684553338151,0.206920364206785,0.203421788367387,19.2135129446672
68,0.2,38.0554907836604,205.668175170484,38.0554907836604,38.1483607121704,12.4209145732248,0,0.0740352019006444,204.156716730024,-0.32424493765729,1,1,0.254859172591895,0.253547826500155,0.228488967471498,0.228804014668312,0.203929228876986,0.204326220926691,19.285009746708
69,0.2,47.2481797616099,202.992695555817,47.2481797616099,46.218260013469,12.7681121104569,0,0.163603651518641,201.251100448241,-0.144130670692714,1,1,0.255463879224625,0.252971485449831,0.228957057632563,0.229366644093323,0.206847374795174,0.203926704593589,19.2888350510024
70,0.2,42.7922439180891,197.721009115904,42.7922439180891,43.5656852289902,13.7431277467431,0,0.0263970628493291,196.524201145889,0.0841180453980442,1,1,0.254178998708543,0.253054840632793,0.228425569162717,0.228518081202061,0.205317240036375,0.204684311842469,19.1601690918352
71,0.2,41.7222156059973,200.730896118256,41.7222156059973,41.673051246057,13.2210410072039,0,0.123503974522357,199.303832744487,-0.065304808748172,1,1,0.252478849848144,0.252495516553714,0.228756588382278,0.228305582745568,0.203263968260299,0.202717723471542,19.2526941705901
72,0.2,49.3294390322047,197.718550895176,49.3294390322047,48.5800527377146,13.5802853534368,0,-0.0388014377251112,196.669706320892,0.21648055112527,1,1,0.254543780216673,0.253227127978947,0.228050586109677,0.228121297342901,0.204340529713088,0.204461436883936,19.7764043575071
73,0.2,49.1878753525634,192.119640441871,49.1878753525634,49.4102503904411,14.4075048615447,0,0.0418745297693621,191.186038863227,0.0400333013378388,1,1,0.254754275361409,0.254830844954464,0.228281922807949,0.227851916835335,0.204931712901604,0.204140274502314,19.2258285523612
74,0.2,44.0273906020277,194.216156553188,44.0273906020277,44.5311701916474,14.1916929071478,0,0.260253594760436,193.456221911351,-0.0350193910889165,1,1,0.256477661585167,0.254808600348854,0.227576064255953,0.227983522324848,0.203541434585929,0.202955744489341,19.1112735104674
